Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-07,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-08,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-09,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-10,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-13,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-14,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-15,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-16,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-17,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-21,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-22,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-23,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-24,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-27,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-02-28,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-01,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-02,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-03,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-06,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-07,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-08,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-09,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-10,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-13,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-14,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-15,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-16,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-17,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-20,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-21,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-22,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-23,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-24,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-27,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
2017-03-28,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0,0,0
